,song_no,title,album,artist,rank,like
51,33016550,너도 아는,너도 아는,폴킴,52,32289
52,33002813,"사랑 못해, 남들 쉽게 다 하는 거","사랑 못해, 남들 쉽게 다 하는 거",먼데이 키즈 (Monday Kiz),53,20854
53,32947184,Bad Boy,Bad Boy,청하,54,50408
54,31029291,2002,Speak Your Mind (Deluxe),Anne-Marie,55,344253
55,32559781,살짝 설렜어 (Nonstop),NONSTOP,오마이걸 (OH MY GIRL),56,162197
56,32998020,소확행,힘든 건 사랑이 아니다,임창정,57,24531
57,32790516,다시 여기 바닷가,다시 여기 바닷가,"싹쓰리 (유두래곤, 린다G, 비룡)",58,227742
58,33077238,잠시,BE,방탄소년단,59,84610
59,32614125,사랑하게 될 줄 알았어,슬기로운 의사생활 OST Part 11,전미도,60,128292
60,32996210,행복해,Happy,송하예,61,19524
61,32486613,처음처럼,CEREMONIA,엠씨더맥스 (M.C the MAX),62,98867
62,31984204,안녕,호텔 델루나 OST Part.10,폴킴,63,181151
63,33034623,AYA,TRAVEL,마마무 (Mamamoo),64,26732
64,32137576,Don't Start Now,Future Nostalgia,Dua Lipa,65,125733
65,32508053,이제 나만 믿어요,내일은 미스터트롯 우승자 특전곡,임영웅,66,102994
66,32399830,ON,MAP OF THE SOUL : 7,방탄소년단,67,253278
67,33077240,Stay,BE,방탄소년단,68,79719
68,32906021,별을 담은 시 (Ode To The Stars),Red Moon : Ode To The Stars,마크툽 (MAKTUB),69,30943
69,31388145,너를 만나,너를 만나,폴킴,70,274863
70,33077239,병,BE,방탄소년단,71,80551
71,5475060,Santa Tell Me,Santa Tell Me,Ariana Grande,72,163192
72,33064355,HAPPENING,HAPPENING,AKMU (악동뮤지션),73,27547
73,31509376,12:45 (Stripped),12:45 (Stripped),Etham,74,97130
74,32143487,Love poem,Love poem,아이유,75,277216
75,32313543,아무노래,아무노래,지코 (ZICO),76,250278
76,32961716,Pretty Savage,THE ALBUM,BLACKPINK,77,45999
77,32345931,시작,이태원 클라쓰 OST Part.2,가호 (Gaho),78,193693
78,33067476,Black Mamba,Black Mamba,aespa,79,22284
79,32833393,덤디덤디 (DUMDi DUMDi),덤디덤디 (DUMDi DUMDi),(여자)아이들,80,88992
80,32915886,축하해 (Prod. By VAN.C),축하해,오반,81,34630
81,32122539,Maniac,Maniac,Conan Gray,82,109653
82,31341518,Paris In The Rain,I met you when I was 18. (the playlist),Lauv,83,235071
83,32902881,밤새 (취향저격 그녀 X 카더가든),밤새 (취향저격 그녀 X 카더가든),카더가든,84,34745
84,31703498,시든 꽃에 물을 주듯,시든 꽃에 물을 주듯,HYNN (박혜원),85,178474
85,33029109,도망가,TAKE,MINO (송민호),86,36788
86,32377231,그때 그 아인,이태원 클라쓰 OST Part.6,김필,87,101220
87,32860419,Not Shy,Not Shy,ITZY (있지),88,57086
88,32616054,취했나봐,취했나봐,황인욱,89,41063
89,32734819,첫 줄,Dear,신용재 (2F),90,35641
90,32725022,보라빛 밤 (pporappippam),보라빛 밤 (pporappippam),선미,91,82381
91,32734372,Summer Hate (Feat. 비),RANDOM BOX,지코 (ZICO),92,103641
92,32889003,Ice Cream (with Selena Gomez),Ice Cream (with Selena Gomez),BLACKPINK,93,71614
93,32473998,좋은 사람 있으면 소개시켜줘,슬기로운 의사생활 OST Part 2,조이 (JOY),94,106782
94,33027247,너의 곁에만 맴돌아,너의 곁에만 맴돌아,노을,95,13498
95,31314144,가을 타나 봐,가을 타나 봐,바이브,96,151325
96,32273582,Psycho,‘The ReVe Festival’ Finale,Red Velvet (레드벨벳),97,207314
97,31701428,bad guy,"WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?",Billie Eilish,98,240690
98,31768993,Painkiller,Painkiller,Ruel,99,115439
99,32698765,Into the I-LAND,I-LAND Part.1 Signal Song,아이유,100,110524
